popularity,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,Key_0,Key_1,Key_2,Key_3,Key_4,Key_5,Key_6,Key_7,Key_8,Key_9,Key_10,Key_11,liveness,loudness,mode,speechiness,tempo,valence,count
0,0.989,0.365,192880,0.542,0,0.809,1,0,0,0,0,0,0,0,0,0,0,0,0.444,-8.901,1,0.0489,121.818,0.902,245
0,0.871,0.709,401080,0.223,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.147,-14.12,1,0.894,127.067,0.348,8
28,0.207,0.577,146760,0.773,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0871,-7.254,1,0.0605,128.234,0.837,4
0,0.00412,0.34,126798,0.942,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.13,-1.425,1,0.131,170.64,0.422,24
3,0.0998,0.716,161730,0.619,0,0.00723,0,0,0,1,0,0,0,0,0,0,0,0,0.0801,-10.304,1,0.0319,133.025,0.871,2
27,0.2,0.581,148813,0.673,0,0.0127,1,0,0,0,0,0,0,0,0,0,0,0,0.165,-7.847,1,0.0282,112.517,0.736,911
22,0.906,0.474,142373,0.222,0,0.00408,0,0,0,0,0,0,0,1,0,0,0,0,0.116,-12.772,1,0.0314,87.559,0.434,12
51,0.907,0.228,205467,0.125,0,0.000425,0,0,0,0,0,0,0,0,1,0,0,0,0.171,-17.576,1,0.0369,85.091,0.216,1435
44,0.0736,0.541,346987,0.863,0,0.00115,1,0,0,0,0,0,0,0,0,0,0,0,0.463,-6.999,1,0.0703,142.829,0.522,325
0,0.000169,0.807,428487,0.914,0,0.891,1,0,0,0,0,0,0,0,0,0,0,0,0.0745,-8.555,1,0.0577,125.994,0.263,2
36,0.504,0.243,138400,0.366,0,0.000304,0,0,0,0,0,0,0,0,0,1,0,0,0.0921,-10.38,1,0.0295,86.3,0.287,19
26,0.744,0.632,176693,0.346,0,0.00268,0,0,0,0,0,0,0,0,0,0,1,0,0.165,-14.925,1,0.0271,74.501,0.556,120
54,0.7,0.316,324573,0.415,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.357,-13.435,0,0.0472,185.123,0.273,134
0,0.132,0.725,100400,0.144,1,0.00222,0,1,0,0,0,0,0,0,0,0,0,0,0.061,-23.355,1,0.909,88.883,0.709,2124
64,0.192,0.341,221707,0.64,0,4.61E-05,0,0,0,0,0,1,0,0,0,0,0,0,0.268,-4.432,1,0.0378,86.006,0.351,142
63,0.409,0.85,217200,0.938,0,0.000346,0,0,0,0,0,0,0,0,0,1,0,0,0.0582,-6.889,0,0.0415,120.826,0.84,190
9,0.625,0.556,157400,0.313,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.117,-15.25,1,0.0311,112.408,0.594,100
42,0.977,0.875,202667,0.284,0,0.929,1,0,0,0,0,0,0,0,0,0,0,0,0.0889,-20.942,0,0.0559,89.509,0.934,102
0,0.996,0.527,177773,0.142,0,0.907,0,0,0,0,0,0,0,0,1,0,0,0,0.113,-20.701,0,0.0612,126.702,0.896,1248
5,0.978,0.719,77982,0.323,0,2.88E-06,0,0,1,0,0,0,0,0,0,0,0,0,0.0774,-9.256,1,0.0347,128.3,0.581,36
28,0.989,0.466,209400,0.0659,0,0.897,0,0,1,0,0,0,0,0,0,0,0,0,0.129,-22.646,1,0.035,102.43,0.117,118
28,0.0479,0.615,265267,0.841,0,0.0373,0,0,1,0,0,0,0,0,0,0,0,0,0.198,-10.351,1,0.0568,114.347,0.486,8
17,0.62,0.657,188120,0.529,0,0.154,1,0,0,0,0,0,0,0,0,0,0,0,0.182,-14.876,1,0.0329,122.684,0.75,131
52,0.000436,0.576,147333,0.96,0,3.23E-05,0,0,0,0,1,0,0,0,0,0,0,0,0.0659,-2.605,1,0.0759,120.95,0.532,10
44,0.000753,0.68,277853,0.846,0,2.35E-05,0,0,0,0,0,0,0,0,1,0,0,0,0.144,-5.252,1,0.054,89.962,0.926,88
49,0.000306,0.569,211320,0.949,0,2.57E-05,0,0,1,0,0,0,0,0,0,0,0,0,0.175,-5.551,0,0.123,112.074,0.286,14
41,0.00019,0.272,210893,0.907,0,0.0393,0,0,0,0,1,0,0,0,0,0,0,0,0.186,-4.592,0,0.0707,177.225,0.564,290
19,0.826,0.363,147093,0.517,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0878,-8.532,1,0.032,66.695,0.713,13
17,0.858,0.361,187173,0.52,0,0.000117,0,0,0,0,0,0,0,0,0,1,0,0,0.329,-8.702,1,0.0461,185.832,0.584,54
28,0.154,0.62,302000,0.458,0,0.00837,1,0,0,0,0,0,0,0,0,0,0,0,0.195,-14.435,1,0.0275,89.033,0.456,10
21,0.000497,0.299,210360,0.898,0,0.879,0,0,0,0,0,0,0,0,0,1,0,0,0.308,-7.336,1,0.0729,184.589,0.855,218
35,0.816,0.389,261200,0.401,0,6.43E-06,1,0,0,0,0,0,0,0,0,0,0,0,0.263,-11.605,1,0.0398,138.416,0.295,14
71,0.687,0.432,341773,0.389,0,0.0107,0,0,0,0,0,0,0,1,0,0,0,0,0.0788,-6.517,1,0.0255,139.506,0.158,911
0,0.942,0.697,167095,0.402,0,7.84E-05,0,0,0,0,0,1,0,0,0,0,0,0,0.0844,-10.084,0,0.0625,91.738,0.87,16
2,0.0323,0.808,202491,0.59,0,0.779,0,0,0,0,0,0,1,0,0,0,0,0,0.173,-10.384,0,0.0744,128.033,0.366,17
0,0.225,0.495,150000,0.485,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0824,-8.705,1,0.0299,101.062,0.785,42
22,0.177,0.642,224027,0.657,0,0.000384,0,0,0,0,0,0,0,0,0,0,0,1,0.219,-12.233,1,0.0293,110.098,0.948,126
13,0.45,0.323,418307,0.663,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.127,-11.013,0,0.0529,113.723,0.497,66
7,0.89,0.345,401387,0.179,0,0.00014,0,0,0,0,1,0,0,0,0,0,0,0,0.711,-20.525,1,0.0344,84.387,0.166,471
13,0.00436,0.335,284267,0.708,0,0.000137,0,0,0,0,0,0,0,0,0,1,0,0,0.123,-9.983,1,0.067,122.664,0.251,911
47,0.0375,0.833,259667,0.338,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0459,-12.831,1,0.127,81.822,0.73,44
42,0.494,0.519,209373,0.671,0,0.00256,1,0,0,0,0,0,0,0,0,0,0,0,0.329,-13.8,1,0.035,152.171,0.808,163
0,0.961,0.574,185184,0.31,0,4.73E-06,0,0,0,0,0,0,0,0,1,0,0,0,0.104,-6.822,1,0.149,81.817,0.896,192
49,0.091,0.412,283920,0.816,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0844,-1.987,1,0.104,95.752,0.748,16
49,0.000109,0.199,103973,0.975,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.23,-5.609,1,0.0559,177.442,0.758,225
0,0.0789,0.631,127012,0.227,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.195,-16.421,0,0.961,81.418,0.394,2350
41,0.985,0.419,32213,0.106,0,0.93,0,0,0,0,0,0,0,0,0,1,0,0,0.103,-34.602,0,0.107,142.262,0.62,210
31,0.882,0.571,210640,0.278,0,0.871,0,0,0,0,1,0,0,0,0,0,0,0,0.118,-14.99,0,0.0291,100.91,0.203,178
8,0.00957,0.604,192737,0.971,0,0.898,0,0,0,0,0,0,0,1,0,0,0,0,0.293,-4.257,0,0.0554,132.014,0.0699,30
16,0.992,0.508,118368,0.0678,0,0.953,1,0,0,0,0,0,0,0,0,0,0,0,0.114,-20.912,0,0.0691,74.995,0.147,68
31,0.000338,0.171,276133,0.871,0,0.071,1,0,0,0,0,0,0,0,0,0,0,0,0.0766,-3.131,1,0.0745,123.054,0.419,36
30,0.803,0.578,220000,0.124,0,2.05E-06,0,1,0,0,0,0,0,0,0,0,0,0,0.867,-19.085,1,0.382,91.749,0.32,2
10,0.977,0.657,494480,0.189,0,0.936,0,0,0,0,0,0,0,1,0,0,0,0,0.125,-18.285,1,0.0573,136.108,0.405,14
0,0.315,0.253,283307,0.362,0,0.0393,0,0,0,0,0,0,0,1,0,0,0,0,0.551,-12.36,1,0.0309,159.34,0.511,90
25,0.445,0.539,185400,0.487,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0459,-13.557,0,0.0377,169.898,0.827,252
36,0.05,0.802,260880,0.649,0,0.769,0,0,0,0,1,0,0,0,0,0,0,0,0.113,-12.795,0,0.0462,118.984,0.822,2
